,loss,amp_loss,phi_loss,noise,PSNR
226,inf,inf,0.9999999403953552,0.226,11.3522
227,inf,inf,0.9999999403953552,0.227,11.3522
228,inf,inf,0.9999999403953552,0.228,11.3522
229,inf,inf,0.9999999403953552,0.229,11.3522
230,inf,inf,0.9999999403953552,0.23,11.3522
231,inf,inf,0.9999999403953552,0.231,11.3522
232,inf,inf,0.9999999403953552,0.232,11.3522
233,inf,inf,0.9999999403953552,0.233,11.3522
234,inf,inf,0.9999999403953552,0.234,11.3522
235,inf,inf,0.9999999403953552,0.235,11.3522
236,inf,inf,0.9999999403953552,0.236,11.3522
237,inf,inf,0.9999999403953552,0.237,11.3522
238,inf,inf,0.9999999403953552,0.238,11.3522
239,inf,inf,0.9999999403953552,0.239,11.3522
240,inf,inf,0.9999999403953552,0.24,11.3522
241,inf,inf,0.9999999403953552,0.241,11.3522
242,inf,inf,0.9999999403953552,0.242,11.3522
243,inf,inf,0.9999999403953552,0.243,11.3522
244,inf,inf,0.9999999403953552,0.244,11.3522
245,inf,inf,0.9999999403953552,0.245,11.3522
246,inf,inf,0.9999999403953552,0.246,11.3522
247,inf,inf,0.9999999403953552,0.247,11.3522
248,inf,inf,0.9999999403953552,0.248,11.3522
249,inf,inf,0.9999999403953552,0.249,11.3522
250,inf,inf,0.9999999403953552,0.25,11.3522
251,inf,inf,0.9999999403953552,0.251,11.3522
252,inf,inf,0.9999999403953552,0.252,11.3522
253,inf,inf,0.9999999403953552,0.253,11.3522
254,inf,inf,0.9999999403953552,0.254,11.3522
255,inf,inf,0.9999999403953552,0.255,11.3522
256,inf,inf,0.9999999403953552,0.256,11.3522
257,inf,inf,0.9999999403953552,0.257,11.3522
258,inf,inf,0.9999999403953552,0.258,11.3522
259,inf,inf,0.9999999403953552,0.259,11.3522
260,inf,inf,0.9999999403953552,0.26,11.3522
261,inf,inf,0.9999999403953552,0.261,11.3522
262,inf,inf,0.9999999403953552,0.262,11.3522
263,inf,inf,0.9999999403953552,0.263,11.3522
264,inf,inf,0.9999999403953552,0.264,11.3522
265,inf,inf,0.9999999403953552,0.265,11.3522
266,inf,inf,0.9999999403953552,0.266,11.3522
267,inf,inf,0.9999999403953552,0.267,11.3522
268,inf,inf,0.9999999403953552,0.268,11.3522
269,inf,inf,0.9999999403953552,0.269,11.3522
270,inf,inf,0.9999999403953552,0.27,11.3522
271,inf,inf,0.9999999403953552,0.271,11.3522
272,inf,inf,0.9999999403953552,0.272,11.3522
273,inf,inf,0.9999999403953552,0.273,11.3522
274,inf,inf,0.9999999403953552,0.274,11.3522
275,inf,inf,0.9999999403953552,0.275,11.3522
276,inf,inf,0.9999999403953552,0.276,11.3522
277,inf,inf,0.9999999403953552,0.277,11.3522
278,inf,inf,0.9999999403953552,0.278,11.3522
279,inf,inf,0.9999999403953552,0.279,11.3522
280,inf,inf,0.9999999403953552,0.28,11.3522
281,inf,inf,0.9999999403953552,0.281,11.3522
282,inf,inf,0.9999999403953552,0.282,11.3522
283,inf,inf,0.9999999403953552,0.283,11.3522
284,inf,inf,0.9999999403953552,0.284,11.3522
285,inf,inf,0.9999999403953552,0.285,11.3522
286,inf,inf,0.9999999403953552,0.286,11.3522
287,inf,inf,0.9999999403953552,0.287,11.3522
288,inf,inf,0.9999999403953552,0.288,11.3522
289,inf,inf,0.9999999403953552,0.289,11.3522
290,inf,inf,0.9999999403953552,0.29,11.3522
291,inf,inf,0.9999999403953552,0.291,11.3522
292,inf,inf,0.9999999403953552,0.292,11.3522
293,inf,inf,0.9999999403953552,0.293,11.3522
294,inf,inf,0.9999999403953552,0.294,11.3522
295,inf,inf,0.9999999403953552,0.295,11.3522
296,inf,inf,0.9999999403953552,0.296,11.3522
297,inf,inf,0.9999999403953552,0.297,11.3522
298,inf,inf,0.9999999403953552,0.298,11.3522
299,inf,inf,0.9999999403953552,0.299,11.3522
300,inf,inf,0.9999999403953552,0.3,11.3522
301,inf,inf,0.9999999403953552,0.301,11.3522
302,inf,inf,0.9999999403953552,0.302,11.3522
303,inf,inf,0.9999999403953552,0.303,11.3522
304,inf,inf,0.9999999403953552,0.304,11.3522
305,inf,inf,0.9999999403953552,0.305,11.3522
306,inf,inf,0.9999999403953552,0.306,11.3522
307,inf,inf,0.9999999403953552,0.307,11.3522
308,inf,inf,0.9999999403953552,0.308,11.3522
309,inf,inf,0.9999999403953552,0.309,11.3522
310,inf,inf,0.9999999403953552,0.31,11.3522
311,inf,inf,0.9999999403953552,0.311,
312,inf,inf,0.9999999403953552,0.312,
313,inf,inf,0.9999999403953552,0.313,
314,inf,inf,0.9999999403953552,0.314,
315,inf,inf,0.9999999403953552,0.315,
316,inf,inf,0.9999999403953552,0.316,
317,inf,inf,0.9999999403953552,0.317,
318,inf,inf,0.9999999403953552,0.318,
319,inf,inf,0.9999999403953552,0.319,
320,inf,inf,0.9999999403953552,0.32,
321,inf,inf,0.9999999403953552,0.321,
322,inf,inf,0.9999999403953552,0.322,
323,inf,inf,0.9999999403953552,0.323,
324,inf,inf,0.9999999403953552,0.324,
325,inf,inf,0.9999999403953552,0.325,
326,inf,inf,0.9999999403953552,0.326,
327,inf,inf,0.9999999403953552,0.327,
328,inf,inf,0.9999999403953552,0.328,
329,inf,inf,0.9999999403953552,0.329,
330,inf,inf,0.9999999403953552,0.33,
331,inf,inf,0.9999999403953552,0.331,
332,inf,inf,0.9999999403953552,0.332,
333,inf,inf,0.9999999403953552,0.333,
334,inf,inf,0.9999999403953552,0.334,
335,inf,inf,0.9999999403953552,0.335,
336,inf,inf,0.9999999403953552,0.336,
337,inf,inf,0.9999999403953552,0.337,
338,inf,inf,0.9999999403953552,0.338,
339,inf,inf,0.9999999403953552,0.339,
340,inf,inf,0.9999999403953552,0.34,
341,inf,inf,0.9999999403953552,0.341,
342,inf,inf,0.9999999403953552,0.342,
343,inf,inf,0.9999999403953552,0.343,
344,inf,inf,0.9999999403953552,0.344,
345,inf,inf,0.9999999403953552,0.345,
346,inf,inf,0.9999999403953552,0.346,
